year,title,artist,genre,peak_pos,wks_on_chart,duration,popularity,energy,danceability,loudness,speechiness,liveness
1959,Little Queenie,Chuck Berry,R&B,80,4,163800,40,0.764,0.673,-10.392,0.087,0.238
1960,Pretty Blue Eyes,Steve Lawrence,Pop,9,18,114000,40,0.507,0.477,-11.802,0.0328,0.36
1960,Greenfields,The Brothers Four,Pop,2,20,182000,40,0.125,0.466,-20.428,0.0372,0.121
1960,Footsteps,Steve Lawrence,Pop,7,13,306000,60,0.374,0.679,-10.565,0.0482,0.0541
1960,Young Emotions,Ricky Nelson,Pop,12,13,169000,43,0.578,0.487,-6.719,0.107,0.161
1960,Georgia On My Mind,Ray Charles,Pop,1,13,219000,56,0.323,0.19,-12.405,0.0303,0.176
1960,North To Alaska,Johnny Horton,Country,4,23,169560,49,0.371,0.647,-14.437,0.0389,0.345
1960,Big Boss Man,Jimmy Reed,Blues,78,3,170319,34,0.473,0.706,-12.673,0.0298,0.0832
1960,Chain Gang,Sam Cooke,R&B,2,16,160000,44,0.661,0.698,-9.674,0.0416,0.228
1960,Mr. Custer,Larry Verne,Pop,1,13,176000,52,0.865,0.704,-5.44,0.0476,0.296
1960,Mack The Knife,Bobby Darin,Pop,1,26,184000,59,0.529,0.549,-12.291,0.108,0.206
1960,Devil Or Angel,Bobby Vee,Pop,6,19,146000,38,0.239,0.668,-13.181,0.0332,0.299
1960,Tell Laura I Love Her,Ray Peterson,Pop,7,14,177000,47,0.475,0.508,-8.436,0.032,0.132
1960,Beyond The Sea,Bobby Darin,Pop,6,14,172000,68,0.516,0.521,-7.456,0.0369,0.257
1960,Mule Skinner Blues,The Fendermen,Pop,5,18,188000,42,0.806,0.57,-9.849,0.0536,0.112
1960,You Got What It Takes,Marv Johnson,Pop,10,22,168000,48,0.454,0.701,-11.871,0.0409,0.449
1960,Volare,Bobby Rydell,Pop,4,15,181000,67,0.144,0.612,-12.204,0.0352,0.203
1960,Handy Man,Jimmy Jones,Pop,2,18,196000,56,0.233,0.804,-14.17,0.0312,0.0854
1960,Just One Time,Don Gibson,Country,29,11,164826,24,0.438,0.552,-15.108,0.0419,0.112
1960,Wild One,Bobby Rydell,Pop,2,16,141000,80,0.55,0.662,-5.816,0.0366,0.406
1960,Among My Souvenirs,Connie Francis,Pop,7,15,151000,27,0.447,0.464,-6.15,0.0266,0.165
1960,Kiddio,Brook Benton,Pop,7,17,191000,28,0.278,0.854,-12.581,0.0961,0.138
1960,Mission Bell,Donnie Brooks,Pop,7,20,219000,22,0.871,0.66,-4.511,0.0322,0.344
1960,Doggin' Around,Jackie Wilson,R&B,15,16,171840,22,0.367,0.568,-9.912,0.0256,0.059
1960,Forever,The Little Dippers,Pop,9,14,232000,77,0.65,0.487,-5.195,0.0253,0.0933
1960,Sixteen Reasons,Connie Stevens,Pop,3,24,118000,39,0.406,0.339,-8.955,0.0319,0.11
1960,Walking To New Orleans,Fats Domino,R&B,6,14,118466,49,0.289,0.582,-14.339,0.0465,0.107
1960,Mama,Connie Francis,Pop,8,13,207000,69,0.491,0.393,-5.571,0.0267,0.106
1960,The Twist,Chubby Checker,Pop,1,39,168000,61,0.848,0.436,-4.733,0.0366,0.099
1960,Look For A Star,Garry Miles,Pop,16,13,137000,60,0.692,0.915,-7.544,0.0857,0.0964
1960,Burning Bridges,Jack Scott,Pop,3,17,241000,47,0.356,0.447,-7.596,0.0275,0.103
1960,Running Bear,Johnny Preston,Pop,1,27,165000,41,0.688,0.61,-9.308,0.0357,0.164
