year,title,artist,genre,peak_pos,wks_on_chart,duration,popularity,energy,danceability,loudness,speechiness,liveness
1967,Penny Lane,The Beatles,Pop,1,10,180000,62,0.488,0.651,-8.22,0.0316,0.136
1967,Georgy Girl,The Seekers,Pop,2,16,140000,53,0.496,0.515,-7.446,0.0324,0.182
1967,A Whiter Shade Of Pale,Procol Harum,Pop,5,12,248000,61,0.66,0.249,-6.904,0.0343,0.0891
1967,Never My Love,The Association,Pop,2,14,187000,53,0.428,0.435,-11.747,0.0268,0.149
1968,Hey Jude,The Beatles,Pop,1,19,425000,71,0.607,0.386,-7.7,0.0261,0.088
1968,Time Has Come Today,The Chambers Brothers,Pop,11,14,290000,49,0.514,0.528,-11.909,0.133,0.0725
1968,Green Tambourine,The Lemon Pipers,Pop,1,13,146000,44,0.627,0.509,-7.392,0.0284,0.24
1968,Nobody But Me,The Human Beinz,Pop,8,15,140000,55,0.75,0.568,-8.913,0.0466,0.121
1968,On The Road Again,Canned Heat,Blues,16,11,206333,49,0.156,0.496,-17.059,0.0419,0.232
1968,Grazing In The Grass,Hugh Masekela,Pop,1,12,174000,46,0.857,0.595,-6.89,0.163,0.355
1968,A Beautiful Morning,The Rascals,Pop,3,13,151000,55,0.484,0.503,-12.833,0.0311,0.345
1968,Time Of The Season,The Zombies,Alt. Rock,3,13,282893,39,0.922,0.368,-5.042,0.093,0.917
1968,Hold Me Tight,Johnny Nash,Pop,5,15,210000,55,0.925,0.582,-4.363,0.0523,0.108
1968,Yummy Yummy Yummy,Ohio Express,Pop,4,14,199000,44,0.922,0.641,-3.05,0.0927,0.414
1968,Take Time To Know Her,Percy Sledge,Pop,11,14,185000,34,0.337,0.321,-12.825,0.0427,0.0721
1968,Those Were The Days,Mary Hopkin,Pop,2,14,81000,61,0.399,0.804,-8.444,0.0509,0.101
1968,Here Comes The Judge,Shorty Long,Pop,8,11,157000,24,0.458,0.699,-16.067,0.0876,0.133
1968,Daydream Believer,The Monkees,Pop,1,16,179000,70,0.488,0.51,-10.304,0.0304,0.11
1968,Hello Goodbye,The Beatles,Pop,1,11,219000,68,0.768,0.636,-6.314,0.0329,0.133
1968,Lookin' For A Love,Bobby Womack,R&B,10,17,153653,26,0.844,0.697,-6.573,0.0325,0.0883
1968,Honey,Bobby Goldsboro,Pop,1,15,135000,76,0.688,0.74,-4.361,0.0916,0.138
1968,Valleri,The Monkees,Pop,3,10,134000,37,0.564,0.402,-7.683,0.0577,0.261
1968,Sunshine Of Your Love,Cream,Pop,5,26,250000,69,0.594,0.683,-8.289,0.0347,0.121
1968,You Better Sit Down Kids,Cher,Pop,9,13,195000,16,0.427,0.413,-11.29,0.0353,0.0998
1968,Slip Away,Clarence Carter,Pop,6,16,235000,65,0.547,0.693,-9.02,0.041,0.102
1968,Elenore,The Turtles,Pop,6,12,151000,59,0.625,0.63,-8.407,0.0375,0.24
1968,Skinny Legs And All,Joe Tex,Pop,10,15,191000,14,0.394,0.599,-16.106,0.0721,0.706
1968,Indian Lake,The Cowsills,Pop,10,13,163000,39,0.652,0.695,-9.051,0.0316,0.0787
1968,Midnight Confessions,The Grass Roots,Pop,5,15,164000,48,0.751,0.705,-7.08,0.0441,0.105
1968,Jennifer Juniper,Donovan,Folk,26,9,160160,37,0.291,0.615,-19.48,0.0317,0.519
1968,Everyday People,Sly & The Family Stone,R&B,1,19,141506,64,0.497,0.807,-10.656,0.0297,0.043
1968,Bottle Of Wine,The Fireballs,Pop,9,14,132000,28,0.783,0.659,-9.824,0.0322,0.0517
1968,She's Lookin' Good,Wilson Pickett,R&B,15,10,146640,22,0.65,0.827,-11.995,0.0515,0.0994
1968,Mr. Bojangles,Jerry Jeff Walker,Folk,77,5,328146,42,0.0801,0.427,-27.119,0.0372,0.125
1968,Born To Be Wild,Steppenwolf,Pop,2,13,212000,66,0.734,0.439,-12.168,0.097,0.244
1968,Revolution,The Beatles,Pop,12,11,231000,64,0.833,0.574,-6.239,0.0563,0.105
1968,Lady Madonna,The Beatles,Pop,4,11,136000,50,0.777,0.65,-4.984,0.0294,0.215
1968,Security,Otis Redding,R&B,97,1,157960,36,0.433,0.755,-10.3,0.0438,0.23
1968,Let It Be,Joan Baez,Folk,49,8,216000,32,0.219,0.397,-13.534,0.0307,0.145
1968,Loving You Is Sweeter Than Ever,Four Tops,R&B,45,8,170426,37,0.616,0.53,-7.86,0.0378,0.0942
1968,Atlantis,Donovan,Folk,7,13,302640,45,0.313,0.291,-16.17,0.0347,0.0828
1968,The House That Jack Built,Aretha Franklin,Pop,6,9,139000,35,0.893,0.521,-4.168,0.0962,0.283
1968,Bed Of Rose's,The Statler Brothers,Country,58,9,148400,49,0.491,0.768,-10.628,0.033,0.114
1968,Love Is All Around,The Troggs,Pop,7,16,246000,69,0.689,0.523,-6.58,0.027,0.109
1968,White Room,Cream,Pop,6,11,298000,69,0.576,0.553,-13.458,0.0304,0.0365
1968,The Unicorn,The Irish Rovers,Pop,7,12,141000,48,0.0762,0.473,-22.856,0.046,0.0946
1968,Wichita Lineman,Glen Campbell,Country,3,15,186200,60,0.392,0.192,-11.667,0.0327,0.248
1968,Everyday People,Sly & The Family Stone,Funk,1,19,141506,64,0.497,0.807,-10.656,0.0297,0.043
1968,Chain Of Fools,Aretha Franklin,Pop,2,12,167000,61,0.567,0.721,-9.516,0.0389,0.465
1968,I'll Go To My Grave Loving You,The Statler Brothers,Country,93,4,168066,41,0.425,0.606,-11.671,0.025,0.119
1968,People Got To Be Free,The Rascals,Pop,1,14,181000,39,0.696,0.685,-8.137,0.0364,0.195
1968,Cowboys To Girls,The Intruders,Pop,6,14,159000,49,0.432,0.278,-9.181,0.0402,0.732
1968,I Get The Sweetest Feeling,Jackie Wilson,R&B,34,8,178373,53,0.482,0.684,-9.234,0.0371,0.148
1968,Tell Mama,Etta James,R&B,23,14,144000,52,0.784,0.676,-6.599,0.0334,0.258
1968,I Heard It Through The Grapevine,Marvin Gaye,R&B,1,15,194293,73,0.362,0.711,-10.851,0.0381,0.127
1968,Going Up The Country,Canned Heat,Blues,11,11,171373,60,0.239,0.653,-18.54,0.0453,0.132
1968,Stay In My Corner,The Dells,R&B,10,13,373560,39,0.247,0.273,-15.021,0.0323,0.861
1968,Cry Like A Baby,The Box Tops,Pop,2,15,152000,41,0.465,0.666,-11.785,0.0307,0.497
1968,Hush,Deep Purple,Pop,4,10,182000,63,0.554,0.708,-6.83,0.0311,0.126
1968,Think,Aretha Franklin,R&B,7,10,139733,64,0.63,0.687,-10.817,0.0389,0.221
1968,Stand By Your Man,Tammy Wynette,Country,19,16,159760,59,0.246,0.517,-11.992,0.0308,0.133
1968,Hush,Deep Purple,Metal,4,10,266240,40,0.616,0.587,-14.234,0.0486,0.079
1968,Dreams Of The Everyday Housewife,Glen Campbell,Country,32,8,155093,36,0.559,0.323,-11.346,0.0395,0.15
1968,I Say A Little Prayer,Aretha Franklin,Pop,10,11,216000,75,0.355,0.592,-14.051,0.0352,0.0585
1968,Come Live With Me,Roy Clark,Country,89,3,177106,18,0.249,0.498,-14.156,0.0274,0.118
1968,Spooky,Classics IV,Pop,3,15,164000,62,0.47,0.776,-10.308,0.0318,0.139
1968,D-I-V-O-R-C-E,Tammy Wynette,Country,63,6,175440,48,0.383,0.628,-9.216,0.0296,0.151
1968,Hurdy Gurdy Man,Donovan,Pop,5,12,193000,52,0.463,0.405,-16.167,0.0542,0.392
1968,Hurdy Gurdy Man,Donovan,Folk,5,12,193466,52,0.463,0.405,-16.167,0.0542,0.392
1968,Ain't No Way,Aretha Franklin,R&B,16,8,254399,46,0.316,0.388,-9.477,0.0297,0.086
1968,The Ballad Of Bonnie And Clyde,Georgie Fame,Pop,7,14,457000,20,0.829,0.18,-8.414,0.0464,0.294
1968,I Thank You,Sam & Dave,R&B,9,13,178493,13,0.529,0.939,-8.271,0.0638,0.0597
1968,Classical Gas,Mason Williams,Pop,2,14,184000,51,0.701,0.489,-10.53,0.0348,0.108
1968,Mrs. Robinson,Simon & Garfunkel,Pop,1,13,244000,80,0.457,0.606,-14.035,0.0497,0.0747
1968,Stoned Soul Picnic,The 5th Dimension,Pop,3,16,208000,35,0.409,0.335,-13.812,0.0412,0.154
1969,Good Morning Starshine,Oliver,Pop,3,13,221000,40,0.541,0.694,-7.91,0.0288,0.0525
1969,Don't Waste My Time,John Mayall,Blues,81,3,193066,18,0.797,0.589,-12.161,0.0394,0.594
1969,Galveston,Glen Campbell,Country,4,12,160866,45,0.525,0.45,-10.387,0.0329,0.14
1969,These Eyes,The Guess Who,Pop,6,14,225000,59,0.382,0.561,-11.276,0.0267,0.156
1969,Gitarzan,Ray Stevens,Pop,8,13,187000,30,0.8,0.401,-8.424,0.14,0.943
1969,The Look Of Love,Isaac Hayes,R&B,79,5,673322,34,0.328,0.452,-14.561,0.0345,0.111
1969,The Carroll County Accident,Porter Wagoner,Country,92,4,169200,37,0.504,0.643,-11.231,0.0395,0.247
1969,Green River,Creedence Clearwater Revival,Pop,2,13,154000,75,0.772,0.702,-9.677,0.0277,0.0809
1969,Get Together,The Youngbloods,Pop,5,25,250000,69,0.721,0.781,-9.133,0.0514,0.104
1969,For Once In My Life,Stevie Wonder,Pop,2,14,169000,73,0.519,0.524,-11.903,0.043,0.523
1969,The Boxer,Simon & Garfunkel,Pop,7,10,308000,69,0.488,0.439,-14.464,0.0615,0.16
1969,Easy To Be Hard,Three Dog Night,Pop,4,13,192000,38,0.518,0.323,-9.297,0.0378,0.0972
1969,Games People Play,Joe South,Pop,12,12,263000,56,0.69,0.721,-10.533,0.0339,0.138
1969,Ease Back,The Meters,Funk,61,6,194973,29,0.604,0.624,-13.443,0.0692,0.295
1969,The Night They Drove Old Dixie Down,Joan Baez,Folk,3,15,206066,53,0.357,0.564,-12.752,0.0326,0.233
1969,Put A Little Love In Your Heart,Jackie DeShannon,Pop,4,14,156000,49,0.523,0.596,-6.801,0.0248,0.0771
1969,My Cherie Amour,Stevie Wonder,R&B,4,14,173306,67,0.507,0.574,-11.343,0.0258,0.279
1969,Twenty-Five Miles,Edwin Starr,Pop,6,14,198000,51,0.836,0.814,-7.376,0.0607,0.224
1969,Let's Work Together,Canned Heat,Blues,26,11,193853,52,0.713,0.746,-11.996,0.0375,0.0684
1969,Proud Mary,Creedence Clearwater Revival,Pop,2,14,187000,76,0.641,0.699,-7.564,0.0289,0.0601
1969,Color Him Father,The Winstons,Pop,7,13,190000,35,0.674,0.531,-7.312,0.0383,0.0368
1969,Cloud Nine,The Temptations,R&B,6,12,211693,40,0.45,0.736,-14.104,0.0583,0.0689
1969,Cissy Strut,The Meters,Funk,23,11,186853,56,0.763,0.507,-12.732,0.0945,0.324
1969,Cinnamon,Derek,Pop,11,15,300000,82,0.337,0.294,-10.614,0.036,0.14
1969,Soulful Strut,Young-Holt Unlimited,Pop,3,13,181000,59,0.658,0.671,-9.203,0.0336,0.055
1969,Lay Lady Lay,Bob Dylan,Pop,7,14,197000,62,0.179,0.52,-21.976,0.0454,0.131
1969,Son-Of-A Preacher Man,Dusty Springfield,Pop,10,12,149000,67,0.498,0.401,-10.682,0.0757,0.13
1969,I'm Sorry,The Delfonics,R&B,42,9,167133,16,0.358,0.559,-9.544,0.0239,0.189
1969,Something,The Beatles,Pop,3,6,228000,87,0.192,0.369,-12.151,0.04,0.0954
1969,Laughing,The Guess Who,Pop,10,11,140000,54,0.419,0.386,-9.712,0.0421,0.267
1969,Kozmic Blues,Janis Joplin,Rock,41,9,261000,54,0.62,0.338,-8.22,0.0455,0.624
1969,If I Can Dream,Elvis Presley,Pop,12,13,191000,57,0.715,0.325,-7.744,0.0368,0.0987
1969,Wedding Bell Blues,The 5th Dimension,Pop,1,15,164000,44,0.674,0.482,-5.41,0.0321,0.135
1969,It's Your Thing,The Isley Brothers,Disco,2,14,169293,57,0.67,0.376,-9.273,0.0854,0.0718
1969,Build Me Up Buttercup,The Foundations,Pop,3,15,180000,79,0.664,0.64,-4.73,0.0289,0.31
1969,In The Year 2525,Zager & Evans,Pop,1,13,199000,48,0.62,0.451,-5.609,0.0361,0.0677
1969,It's Your Thing,The Isley Brothers,Funk,2,14,169293,57,0.67,0.376,-9.273,0.0854,0.0718
1969,In The Ghetto,Elvis Presley,Pop,3,13,167000,64,0.266,0.404,-16.688,0.0334,0.107
1969,Polk Salad Annie,Tony Joe White,Pop,8,12,223000,52,0.543,0.783,-11.565,0.0412,0.0892
1969,Try A Little Kindness,Glen Campbell,Country,23,11,146293,44,0.666,0.323,-5.925,0.0336,0.163
1969,By The Time I Get To Phoenix,Isaac Hayes,R&B,37,8,1124153,30,0.261,0.398,-13.547,0.0451,0.13
1969,Jean,Oliver,Pop,2,14,167000,78,0.807,0.599,-4.679,0.0402,0.196
1969,Can I Change My Mind,Tyrone Davis,Pop,5,13,177000,37,0.669,0.545,-6.239,0.0456,0.0553
1969,You Showed Me,The Turtles,Pop,6,12,195000,55,0.542,0.723,-8.5,0.026,0.0928
1969,More Today Than Yesterday,Spiral Starecase,Pop,12,15,188000,47,0.764,0.608,-6.262,0.0332,0.067
1969,Killer Joe,Quincy Jones,Jazz,74,3,311866,24,0.297,0.503,-16.374,0.0314,0.0831
1969,Memphis Underground,Herbie Mann,World,44,10,429000,36,0.411,0.779,-17.37,0.0322,0.0848
1969,Walk On By,Isaac Hayes,R&B,30,12,720185,45,0.604,0.261,-10.634,0.0844,0.066
1969,I Love How You Love Me,Bobby Vinton,Pop,9,14,184000,65,0.883,0.692,-4.698,0.0582,0.228
1969,Little Woman,Bobby Sherman,Pop,3,13,131000,76,0.879,0.644,-5.204,0.0761,0.286
1969,Too Busy Thinking About My Baby,Marvin Gaye,Pop,4,15,176000,45,0.385,0.751,-11.716,0.035,0.069
1969,Only The Strong Survive,Jerry Butler,Pop,4,13,217000,33,0.782,0.528,-5.518,0.35,0.297
1969,Atlantis,Donovan,Pop,7,13,229000,82,0.479,0.4,-7.989,0.0308,0.115
1969,Suspicious Minds,Elvis Presley,Country,1,15,261279,73,0.382,0.487,-10.889,0.0309,0.411
1969,Didn't I (Blow Your Mind This Time),The Delfonics,Funk,10,14,201066,52,0.59,0.484,-6.663,0.0283,0.155
1969,Didn't I (Blow Your Mind This Time),The Delfonics,R&B,10,14,201066,52,0.59,0.484,-6.663,0.0283,0.155
1969,Honky Tonk Women,The Rolling Stones,Pop,1,15,181000,65,0.778,0.548,-6.367,0.0551,0.0484
1969,Hooked On A Feeling,B.J. Thomas,Pop,5,16,172000,68,0.82,0.547,-6.728,0.0805,0.3
1969,He Called Me Baby,Candi Staton,Disco,52,10,213026,42,0.376,0.63,-13.305,0.0304,0.148
1969,One,Three Dog Night,Pop,5,16,144000,85,0.453,0.915,-4.589,0.27,0.104
1969,A Boy Named Sue,Johnny Cash,Country,2,12,227466,45,0.426,0.678,-14.223,0.176,0.97
1969,Dizzy,Tommy Roe,Pop,1,15,255000,56,0.632,0.619,-7.692,0.0273,0.0897
1969,Touch Me,The Doors,Pop,3,13,190000,63,0.903,0.425,-4.801,0.0732,0.117
1969,I Can't Get Next To You,The Temptations,R&B,1,17,174933,50,0.687,0.693,-12.909,0.0973,0.398
1969,Hawaii Five-O,The Ventures,Pop,4,14,113000,49,0.782,0.518,-9.753,0.0631,0.0769
1969,Tracy,The Cuff Links,Pop,9,12,273000,32,0.971,0.275,-4.66,0.154,0.899
1969,Bad Moon Rising,Creedence Clearwater Revival,Pop,2,14,141000,83,0.774,0.508,-5.973,0.0321,0.063
1969,Hair,The Cowsills,Pop,2,15,217000,83,0.72,0.751,-6.376,0.0303,0.258
1969,Look-Ka Py Py,The Meters,Funk,56,10,198133,30,0.629,0.683,-14.908,0.132,0.533
1969,I Got You Babe,Etta James,R&B,69,7,148773,45,0.783,0.625,-6.028,0.245,0.277
1969,Hurt So Bad,The Lettermen,Pop,12,21,72000,61,0.146,0.467,-16.595,0.122,0.107
1970,Ride Captain Ride,Blues Image,Pop,4,15,225000,51,0.655,0.547,-11.707,0.0414,0.116
1970,Make Me Smile,Chicago,Pop,9,14,239000,61,0.818,0.571,-8.277,0.0337,0.0877
1970,Make It With You,Bread,Pop,1,17,192000,69,0.355,0.629,-11.123,0.0246,0.173
1970,Amazing Grace,Judy Collins,Folk,15,15,248693,43,0.263,0.192,-11.83,0.0332,0.203
1970,Bridge Over Troubled Water,Simon & Garfunkel,Pop,1,14,293000,68,0.206,0.149,-13.888,0.0323,0.115
1970,Everything A Man Could Ever Need,Glen Campbell,Country,52,8,152560,29,0.481,0.522,-13.508,0.0293,0.162
1970,Band Of Gold,Freda Payne,Pop,3,20,212000,43,0.478,0.608,-9.351,0.0369,0.118
1970,Arizona,Mark Lindsay,Pop,10,16,290000,53,0.523,0.506,-6.809,0.0302,0.0874
1970,Psychedelic Shack,The Temptations,Pop,7,11,230000,34,0.822,0.663,-13.119,0.059,0.0626
1970,For The Love Of Him,Bobbi Martin,Pop,13,14,193000,25,0.81,0.5,-7.646,0.0474,0.127
1970,The Tears Of A Clown,Smokey Robinson & The Miracles,R&B,1,16,181800,55,0.607,0.593,-9.886,0.0283,0.128
1970,Black Night,Deep Purple,Metal,66,6,207466,41,0.787,0.498,-11.039,0.0731,0.17
1970,Love On A Two-Way Street,The Moments,Pop,3,15,217000,42,0.339,0.472,-10.969,0.0392,0.289
1970,Big Yellow Taxi,Joni Mitchell,Folk,24,16,134800,62,0.47,0.611,-9.135,0.0356,0.58
1970,Rose Garden,Lynn Anderson,Country,3,17,175866,63,0.501,0.589,-11.665,0.031,0.0741
1970,Let It Be,The Beatles,Pop,1,14,243000,78,0.403,0.443,-8.339,0.0322,0.111
1970,Everything Is Beautiful,Ray Stevens,Pop,1,15,212000,39,0.376,0.39,-15.205,0.0366,0.212
1970,Lola,The Kinks,Pop,9,20,241000,69,0.894,0.456,-4.602,0.037,0.0695
1970,Ball Of Confusion (That's What The World Is Today),The Temptations,R&B,3,15,246200,45,0.735,0.529,-8.153,0.0896,0.102
1970,Evil Ways,Santana,Pop,9,13,238000,62,0.528,0.704,-13.382,0.0358,0.14
1970,All Right Now,Free,Pop,4,16,334000,56,0.407,0.773,-15.039,0.0752,0.08
1970,War,Edwin Starr,Disco,1,15,230106,48,0.752,0.571,-9.245,0.128,0.105
1970,Get Ready,Rare Earth,Pop,4,20,164000,61,0.737,0.591,-5.867,0.0386,0.108
1970,Iron Man,Black Sabbath,Metal,52,10,355000,65,0.792,0.336,-10.875,0.084,0.0437
1970,Patches,Clarence Carter,Blues,4,14,193826,46,0.544,0.639,-12.843,0.141,0.479
1970,Paranoid,Black Sabbath,Metal,61,8,168000,72,0.658,0.412,-12.051,0.0708,0.176
1970,Fire And Rain,James Taylor,Pop,3,16,203000,71,0.271,0.597,-17.293,0.0394,0.0933
1970,No Time,The Guess Who,Pop,5,14,224000,69,0.974,0.576,-2.785,0.0829,0.348
1970,Sunday Morning Coming Down,Johnny Cash,Country,46,7,254906,31,0.42,0.395,-11.199,0.0266,0.812
1970,I Stand Accused,Isaac Hayes,R&B,42,9,695493,19,0.279,0.422,-14.398,0.0536,0.0673
1970,Honey Come Back,Glen Campbell,Country,19,9,178000,34,0.349,0.303,-13.096,0.032,0.308
1970,Hey There Lonely Girl,Eddie Holman,Pop,2,14,216000,49,0.322,0.389,-10.923,0.0282,0.0814
1970,25 Or 6 To 4,Chicago,Pop,4,20,289000,63,0.905,0.604,-7.059,0.0578,0.0837
1970,Time Was,Canned Heat,Blues,67,5,202253,48,0.493,0.622,-14.549,0.028,0.404
1970,Hello Darlin',Conway Twitty,Country,60,8,149133,61,0.235,0.276,-14.352,0.0315,0.132
1970,Take A Letter Maria,R.B. Greaves,Pop,2,15,164000,46,0.5,0.582,-11.647,0.0459,0.134
1970,Green-Eyed Lady,Sugarloaf,Pop,3,17,219000,47,0.523,0.564,-12.908,0.122,0.0624
1970,Holly Holy,Neil Diamond,Pop,6,14,280000,49,0.31,0.283,-14.284,0.0279,0.122
1970,Come And Get It,Badfinger,Pop,7,15,181000,62,0.987,0.567,-4.069,0.0765,0.371
1970,Turn Back The Hands Of Time,Tyrone Davis,Pop,3,13,178000,41,0.655,0.563,-6.399,0.032,0.0484
1970,Spirit In The Sky,Norman Greenbaum,Pop,3,15,242000,75,0.617,0.609,-7.091,0.0307,0.118
1970,Indiana Wants Me,R. Dean Taylor,Pop,5,15,215000,32,0.834,0.532,-3.87,0.0404,0.314
1970,In The Summertime,Mungo Jerry,Pop,3,13,211000,71,0.449,0.754,-14.013,0.0615,0.162
1970,Na Na Hey Hey Kiss Him Goodbye,Steam,Pop,1,16,247000,42,0.916,0.637,-6.95,0.0458,0.21
1970,Gimme Dat Ding,The Pipkins,Pop,9,12,134000,31,0.741,0.649,-9.469,0.0414,0.0295
1970,Candida,Dawn,Pop,3,18,182000,47,0.596,0.783,-10.056,0.0676,0.0427
1970,Cecilia,Simon & Garfunkel,Pop,4,13,174000,76,0.876,0.755,-8.867,0.0362,0.22
1970,Snowbird,Anne Murray,Country,8,16,134226,51,0.48,0.531,-10.633,0.0366,0.0908
1970,Up The Ladder To The Roof,The Supremes,Pop,10,11,191000,37,0.567,0.533,-13.743,0.0539,0.177
1970,Chicken Strut,The Meters,Funk,50,8,194560,27,0.623,0.612,-12.776,0.247,0.323
1970,The Rapper,The Jaggerz,Pop,2,13,168000,58,0.626,0.639,-6.978,0.243,0.178
1970,If You Could Read My Mind,Gordon Lightfoot,Folk,5,15,228840,64,0.24,0.612,-12.821,0.033,0.115
1971,No Charge,Shirley Caesar,Gospel,91,5,206893,29,0.27,0.574,-15.139,0.0354,0.152
1971,Proud Mary,Ike & Tina Turner,Pop,4,13,187000,76,0.641,0.699,-7.564,0.0289,0.0601
1971,The Love We Had (Stays On My Mind),The Dells,R&B,30,12,290480,33,0.369,0.308,-12.279,0.0315,0.143
1971,For The Good Times,Ray Price,Pop,11,24,387000,47,0.289,0.522,-12.013,0.0783,0.136
1971,Never Ending Song Of Love,Delaney & Bonnie & Friends,Pop,13,15,200000,38,0.533,0.669,-14.096,0.0273,0.156
1971,Never Can Say Goodbye,Isaac Hayes,R&B,22,9,309647,33,0.495,0.437,-14.07,0.0472,0.377
1971,Mr. Big Stuff,Jean Knight,Pop,2,16,164000,62,0.491,0.886,-12.589,0.171,0.229
1971,Peace Train,Cat Stevens,Pop,7,12,253000,67,0.682,0.594,-8.858,0.0487,0.0919
1971,Mr. Bojangles,Nitty Gritty Dirt Band,Pop,9,19,215000,52,0.757,0.444,-6.884,0.0541,0.329
1971,One Bad Apple,The Osmonds,Pop,1,15,164000,36,0.567,0.6,-7.163,0.0398,0.213
1971,No Matter What,Badfinger,Pop,8,12,180000,59,0.743,0.529,-5.523,0.0481,0.0759
1971,Gypsy Woman,Brian Hyland,Pop,3,20,451000,67,0.641,0.484,-12.612,0.0377,0.0738
1971,Me And You And A Dog Named Boo,Lobo,Pop,5,13,177000,55,0.603,0.628,-10.286,0.0312,0.0686
1971,I'd Rather Love You,Charley Pride,Country,79,3,168400,31,0.35,0.492,-11.091,0.0272,0.21
1971,Give Your Baby A Standing Ovation,The Dells,R&B,34,16,274373,26,0.764,0.429,-5.123,0.0994,0.504
1971,Go Away Little Girl,Donny Osmond,Pop,1,15,150000,36,0.521,0.302,-5.391,0.0354,0.123
1971,Stay Awhile,The Bells,Pop,7,14,240000,50,0.622,0.582,-8.19,0.364,0.109
1971,I Just Want To Celebrate,Rare Earth,Pop,7,13,217000,48,0.929,0.446,-7.7,0.234,0.015
1971,I Hear You Knocking,Dave Edmunds,Pop,4,12,167000,38,0.615,0.75,-8.956,0.0386,0.0847
1971,If,Bread,Pop,4,12,172000,84,0.499,0.457,-6.67,0.0334,0.171
1971,Stoned Love,The Supremes,Pop,7,14,177000,39,0.657,0.547,-6.86,0.0384,0.0695
1971,How Can You Mend A Broken Heart,Bee Gees,Pop,1,15,383000,63,0.42,0.467,-6.957,0.0398,0.0707
1971,How Can I Unlove You,Lynn Anderson,Country,63,7,168253,15,0.438,0.566,-10.851,0.028,0.394
1971,Sweet Mary,Wadsworth Mansion,Pop,7,14,225000,51,0.652,0.671,-7.86,0.0771,0.178
1971,Grandma's Hands,Bill Withers,R&B,42,8,121080,66,0.312,0.731,-14.939,0.0878,0.111
1971,Help Me Make It Through The Night,Sammi Smith,Pop,8,16,248000,53,0.396,0.459,-7.9,0.0241,0.127
1971,Groove Me,King Floyd,Pop,6,20,183000,53,0.421,0.908,-9.382,0.0648,0.0805
1971,Stoney End,Barbra Streisand,Pop,6,18,177000,35,0.656,0.504,-13.219,0.0466,0.154
1971,Put Your Hand In The Hand,Ocean,Pop,2,14,176000,35,0.475,0.833,-14.951,0.0403,0.0759
1971,If You Could Read My Mind,Gordon Lightfoot,Pop,5,15,228000,65,0.24,0.612,-12.821,0.033,0.115
1971,Smiling Faces Sometimes,The Undisputed Truth,Pop,3,18,198000,49,0.461,0.551,-11.778,0.0255,0.0541
1971,Maggie May/Reason To Believe,Rod Stewart,Pop,1,21,350000,7,0.585,0.566,-8.733,0.0362,0.0911
1971,Rock Steady,Aretha Franklin,R&B,9,9,193573,54,0.752,0.749,-10.3,0.126,0.235
1971,Love Her Madly,The Doors,Pop,11,11,198000,69,0.587,0.565,-7.393,0.0317,0.0416
1971,Lonely Days,Bee Gees,Pop,3,14,223000,56,0.594,0.733,-6.609,0.0394,0.112
1971,Liar,Three Dog Night,Pop,7,12,191000,58,0.946,0.436,-4.755,0.103,0.215
1971,Funny Feeling,The Delfonics,R&B,94,2,143333,26,0.775,0.265,-5.524,0.0369,0.18
1971,If You Really Love Me,Stevie Wonder,Pop,8,14,184000,65,0.883,0.692,-4.698,0.0582,0.228
1971,Let's Stay Together,Al Green,R&B,1,16,199396,76,0.401,0.756,-10.702,0.0526,0.0541
1971,She's All I Got,Johnny Paycheck,Country,91,2,170626,43,0.542,0.613,-12.121,0.0427,0.215
1971,Joy To The World,Three Dog Night,Pop,1,17,220000,65,0.679,0.649,-12.515,0.0316,0.339
1971,Signs,Five Man Electrical Band,Pop,3,18,234000,63,0.735,0.794,-4.204,0.054,0.112
1971,Gypsy Man,War,R&B,8,13,323626,25,0.688,0.523,-8.442,0.0557,0.259
1971,Inner City Blues (Make Me Wanna Holler),Marvin Gaye,R&B,9,9,327706,58,0.455,0.63,-13.667,0.0322,0.133
1971,Slippin' Into Darkness,War,Funk,16,22,227373,49,0.625,0.676,-8.747,0.0729,0.0796
1971,Just My Imagination (Running Away With Me),The Temptations,R&B,1,15,228160,63,0.242,0.425,-15.424,0.0267,0.195
1971,Slippin' Into Darkness,War,R&B,16,22,227373,49,0.625,0.676,-8.747,0.0729,0.0796
1971,One Less Bell To Answer,The 5th Dimension,Pop,2,19,210000,43,0.405,0.398,-6.664,0.0258,0.131
1971,Amos Moses,Jerry Reed,Pop,8,24,139000,54,0.723,0.738,-10.356,0.0728,0.0166
1971,All Day Music,War,Funk,35,11,248200,46,0.479,0.489,-11.888,0.0329,0.107
1971,All Day Music,War,R&B,35,11,248200,46,0.479,0.489,-11.888,0.0329,0.107
1971,Ain't No Sunshine,Bill Withers,R&B,3,16,125093,83,0.415,0.527,-11.451,0.122,0.117
1971,Carey,Joni Mitchell,Folk,93,1,182906,49,0.542,0.626,-7.655,0.037,0.095
1971,What's Going On,Marvin Gaye,R&B,2,15,233000,69,0.716,0.283,-9.632,0.0986,0.399
1971,Wild World,Cat Stevens,Pop,11,13,200000,79,0.542,0.48,-8.51,0.0348,0.113
1971,Can You Get To That,Funkadelic,Funk,93,3,169856,58,0.897,0.681,-5.44,0.0874,0.1
1971,Treat Her Like A Lady,Cornelius Brothers & Sister Rose,Pop,3,18,258000,50,0.908,0.789,-8.123,0.0433,0.189
